ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,193411736,"Anh Em Nhà Motohashi - Tập 2",52000,68000,16000,24
TIKI,nha-sach-tiki,95218451,"Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở (Tái Bản)",176000,260000,84000,32
TIKI,nha-sach-tiki,190238356,"Kỷ Luật Bản Thân",125000,189000,64000,34
TIKI,nha-sach-tiki,193433626,"Kỹ năng tự học cho trẻ tiểu học",142000,199000,57000,29
TIKI,nha-sach-tiki,160997378,"Giải Thích Ngữ Pháp Tiếng Anh Với Bài Tập Và Đáp Án (TB 2022) - Tác giả Mai Lan Hương, Hà Thanh Uyên",165000,220000,55000,25
TIKI,nha-sach-tiki,143186001,"Chiến Thắng Con Quỷ Trong Bạn - Bí Quyết Tự Do Và Thành Công (Tái Bản)",82300,115000,32700,28
TIKI,nha-sach-tiki,1926761,"Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả",125000,199000,74000,37
TIKI,nha-sach-tiki,14053724,"Sự Cứu Rỗi Của Thánh Nữ",93700,128000,34300,27
TIKI,nha-sach-tiki,70016690,"Thế Giới Rộng Lớn Lòng Người Chật Hẹp (Tặng Kèm 1 Bookmark )",62100,92000,29900,33
TIKI,nha-sach-tiki,164336673,"How The Brain Works - Hiểu Hết Về Bộ Não",264000,330000,66000,20
TIKI,nha-sach-tiki,79672197,"Bí Mật Của May Mắn (Khổ Nhỏ)(Tái Bản)",32100,45000,12900,29
TIKI,nha-sach-tiki,195649312,"Trí Tuệ Do Thái  (Tái Bản 2022)",137000,189000,52000,28
TIKI,nha-sach-tiki,137741275,"Ngỡ Như Lương Thiện, Hóa Ra Mềm Yếu",93000,125000,32000,26
TIKI,nha-sach-tiki,25557704,"Bãi săn người - Trinh Thám Kinh Dị",62000,162000,100000,62
TIKI,nha-sach-tiki,195885685,"Vua Sáng Chế -  Tập 16",20000,20000,0,0
TIKI,nha-sach-tiki,3976835,"Velma - Trinh Thám Cổ Điển Phương Tây",49500,99000,49500,50
